id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date
1c0hsvHLELX6y8qymnpLKL,Soltera - Remix,Soltera (Remix),2m9Vuc9Q19qhSm6RQmBgsR,"['Lunay', 'Daddy Yankee', 'Bad Bunny']","['47MpMsUfWtgyIIBEFOr4FE', '4VMYDCV2IEDYJArk749S6m', '4q3ewBCX7sLwd24euuV69X']",1,1,False,0.795,0.7829999999999999,5,-4.271,1,0.0432,0.361,0.0,0.4370000000000001,0.799,92.01,266087,4.0,2019,2019-05-10
21WvAGxPUNJARcZoSqswd7,Satisfacción,Satisfacción,54kKKlH1NeDeihHxTYEvGA,"['Nicky Jam', 'Bad Bunny', 'Arcangel']","['1SupJlEpv7RS2tPNRaHViT', '4q3ewBCX7sLwd24euuV69X', '4SsVbpTthjScTS7U2hmr1X']",1,1,False,0.622,0.503,5,-6.724,0,0.201,0.282,0.0,0.1119999999999999,0.314,136.048,256493,4.0,2018,2018-08-03
1g2Z2lOrwayOzDqOc8EfbR,La Cartera,Gangalee,1PgFsarDcIwCvLX32DpcxB,"['Farruko', 'Bad Bunny']","['329e4yvIujISKGKz1BZZbO', '4q3ewBCX7sLwd24euuV69X']",1,1,False,0.7709999999999999,0.7959999999999999,10,-4.106,0,0.0798,0.0385,9.35e-06,0.218,0.636,87.985,289907,4.0,2019,2019-04-26
27GZ01uEeZvG7esdoed3pQ,Mala y Peligrosa (feat. Bad Bunny),25/7,2cJRX7IOFH07xtkDvB3gcG,"['Víctor Manuelle', 'Bad Bunny']","['4N5fp4zhTsVITZTVfsXpc2', '4q3ewBCX7sLwd24euuV69X']",8,1,False,0.731,0.779,10,-4.101,0,0.0898,0.622,2.96e-06,0.0419,0.907,88.993,264200,4.0,2018,2018-03-23
4ByaTrfoYbXrmlbsTG8MTD,Dame Algo,"Los Campeones del Pueblo ""The Big Leagues""",4zbMionGv9W33xjQfoMyuo,"['Wisin & Yandel', 'Bad Bunny']","['1wZtkThiXbVNtj6hee6dz9', '4q3ewBCX7sLwd24euuV69X']",7,1,True,0.8290000000000001,0.723,8,-3.743,0,0.105,0.176,0.0,0.0877,0.721,92.956,237907,4.0,2018,2018-12-14
2TH65lNHgvLxCKXM3apjxI,Callaita,Callaita,06S3Qjh4QWLtn6c7CVhYh7,"['Bad Bunny', 'Tainy']","['4q3ewBCX7sLwd24euuV69X', '0GM7qgcRCORpGnfcN2tCiB']",1,1,True,0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.243,0.244,176.169,250534,4.0,2019,2019-05-31
278kSqsZIiYp8p3QjYAqa8,NI BIEN NI MAL,X 100PRE,7CjJb2mikwAWA1V6kewFBF,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],1,1,True,0.826,0.449,5,-8.33,0,0.0674,0.556,1.85e-05,0.273,0.337,128.028,236216,4.0,2018,2018-12-23
5jGUJXnELDaDTgiRjD9lsg,200 Mph,X 100PRE,7CjJb2mikwAWA1V6kewFBF,"['Bad Bunny', 'Diplo', 'Nitti Gritti']","['4q3ewBCX7sLwd24euuV69X', '5fMUXHkw8R8eOP2RNVYEZX', '21AUdblPrTRzkvJn8FGrlk']",2,1,True,0.85,0.5,8,-6.7079999999999975,1,0.0665,0.0139,0.000384,0.0947,0.816,160.02,170509,4.0,2018,2018-12-23
6kN06eEOblRAuWI0xUUS91,¿Quien Tu Eres?,X 100PRE,7CjJb2mikwAWA1V6kewFBF,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],3,1,True,0.727,0.58,2,-6.803999999999999,0,0.136,0.185,3.58e-06,0.125,0.325,137.048,159229,4.0,2018,2018-12-23
6it15CsDlkqB7N4lF0C1qM,Caro,X 100PRE,7CjJb2mikwAWA1V6kewFBF,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],4,1,True,0.6509999999999999,0.575,0,-7.739,1,0.299,0.627,0.000202,0.0961,0.248,160.007,229456,4.0,2018,2018-12-23
